family,n_runs,n_samples,deletion_auc_mean,deletion_auc_std,insertion_auc_mean,insertion_auc_std,stability_mean,stability_std,defect_corr_mean,defect_corr_std
resnet18_cbam,3,594,0.4945136988186624,0.2702152887783738,0.5335157726098123,0.247203687561324,0.833951239892429,0.2746197237519028,0.0371137178477903,0.105278985569117
densenet121,3,594,0.5254882984215685,0.2860193020205509,0.5114991733537749,0.2684505101394119,0.8905222043946937,0.2584819767323048,0.0146778025380982,0.1257939750671803
vit_tiny,3,594,0.2106638267494792,0.2329013533343247,0.693491531860034,0.2736305155179391,0.845255762820292,0.1071931018170392,0.3177420788513565,0.2092445138981138
swin_tiny,3,594,0.43214818202660077,0.23279926878351784,0.4804478502823048,0.22214254601927907,0.8927045736198473,0.09700390840778168,0.042040923833733014,0.10540434329018558
