family,native_del_mean,native_del_std,rise_del_mean,rise_del_std,native_ins_mean,native_ins_std,rise_ins_mean,rise_ins_std
resnet18_cbam,0.48637785510296416,0.2755723381358676,0.09103239924905135,0.11209935657467245,0.5312823694522876,0.23706360049152306,0.8578104010221447,0.19790494911360948
densenet121,0.5439124149490027,0.2815777824717127,0.1301331769497285,0.1764265364934686,0.5007187096635346,0.27713731676466763,0.8234306076343392,0.23630735715246054
vit_tiny,0.22115055101815306,0.2255982171651014,0.09306363079740902,0.1025624202615213,0.689147179170873,0.29622040418457174,0.8178818857519518,0.24962746365974245
swin_tiny,0.4395947721600513,0.23829977059660076,0.09561877066901364,0.10141931481082196,0.44816081443687245,0.22391103989048947,0.8230117617096071,0.23007430722188216
