family,native_del_mean,native_del_std,rise_del_mean,rise_del_std,native_ins_mean,native_ins_std,rise_ins_mean,rise_ins_std,native_iou_mean,rise_iou_mean
resnet18_cbam,0.41267117920063817,0.23570225185990848,0.8858240567229507,0.216845449792919,0.846069287045039,0.18898888487335855,0.9050821611357956,0.19623965622182682,0.1333745418175379,0.1649782014656671
densenet121,0.6706544420236159,0.22787813596655918,0.9384684919736764,0.17288278850430056,0.944150121924646,0.11316332323357971,0.9370121107942233,0.1718392987952807,0.14134674566014602,0.20579422436010447
vit_tiny,0.7700628055069965,0.2512322611575534,0.6559616122682894,0.2641748673239766,0.8554509055615079,0.22813395141198156,0.7916509836037868,0.22935070488012116,0.24449654236247134,0.11553408147353514
swin_tiny,0.508660465861521,0.21480757781537899,0.708985400194068,0.21620334404675093,0.9085543333802917,0.10220371628214533,0.9274415625537908,0.11611021045079188,0.10249917556300447,0.16192374312185287
