family,topk,sample_idx,conf_orig,conf_after_del,conf_drop
resnet18_cbam,0.05,11598,0.9968351721763611,0.9969642758369446,-0.0001291036605834961
resnet18_cbam,0.1,11598,0.9968351721763611,0.9964949488639832,0.0003402233123779297
resnet18_cbam,0.2,11598,0.9968351721763611,0.9885531663894653,0.008282005786895752
resnet18_cbam,0.05,8612,0.9998757839202881,0.999879002571106,-3.2186508178710938e-06
resnet18_cbam,0.1,8612,0.9998757839202881,0.9997077584266663,0.00016802549362182617
resnet18_cbam,0.2,8612,0.9998757839202881,0.9983547329902649,0.0015210509300231934
resnet18_cbam,0.05,32384,0.9998824596405029,0.9994625449180603,0.00041991472244262695
resnet18_cbam,0.1,32384,0.9998824596405029,0.9990181922912598,0.0008642673492431641
resnet18_cbam,0.2,32384,0.9998824596405029,0.999467670917511,0.00041478872299194336
resnet18_cbam,0.05,22088,0.9999282360076904,0.9999282360076904,0.0
resnet18_cbam,0.1,22088,0.9999282360076904,0.9999125003814697,1.5735626220703125e-05
resnet18_cbam,0.2,22088,0.9999282360076904,0.9987167119979858,0.0012115240097045898
resnet18_cbam,0.05,1258,0.9441418647766113,0.8813034892082214,0.06283837556838989
resnet18_cbam,0.1,1258,0.9441418647766113,0.9304174184799194,0.013724446296691895
resnet18_cbam,0.2,1258,0.9441418647766113,0.9952810406684875,-0.05113917589187622
resnet18_cbam,0.05,3882,0.563723623752594,8.538468682672828e-05,0.5636382390657673
resnet18_cbam,0.1,3882,0.563723623752594,8.538468682672828e-05,0.5636382390657673
resnet18_cbam,0.2,3882,0.563723623752594,8.538468682672828e-05,0.5636382390657673
resnet18_cbam,0.05,26021,0.9944686889648438,0.9935094714164734,0.0009592175483703613
resnet18_cbam,0.1,26021,0.9944686889648438,0.9943420886993408,0.0001266002655029297
resnet18_cbam,0.2,26021,0.9944686889648438,0.2066378891468048,0.7878307998180389
resnet18_cbam,0.05,28706,0.9998390674591064,0.9998657703399658,-2.6702880859375e-05
resnet18_cbam,0.1,28706,0.9998390674591064,0.9997839331626892,5.513429641723633e-05
resnet18_cbam,0.2,28706,0.9998390674591064,0.9997990727424622,3.999471664428711e-05
resnet18_cbam,0.05,12774,0.9998782873153687,0.9998894929885864,-1.1205673217773438e-05
resnet18_cbam,0.1,12774,0.9998782873153687,0.9998403787612915,3.790855407714844e-05
resnet18_cbam,0.2,12774,0.9998782873153687,0.9995341300964355,0.00034415721893310547
resnet18_cbam,0.05,20577,0.9999732971191406,0.9999852180480957,-1.1920928955078125e-05
resnet18_cbam,0.1,20577,0.9999732971191406,0.9999731779098511,1.1920928955078125e-07
resnet18_cbam,0.2,20577,0.9999732971191406,0.9999136924743652,5.9604644775390625e-05
resnet18_cbam,0.05,20069,0.9998890161514282,0.9996616840362549,0.00022733211517333984
resnet18_cbam,0.1,20069,0.9998890161514282,0.9997292160987854,0.00015980005264282227
resnet18_cbam,0.2,20069,0.9998890161514282,0.9969268441200256,0.002962172031402588
resnet18_cbam,0.05,22989,0.9997844099998474,0.9997714161872864,1.2993812561035156e-05
resnet18_cbam,0.1,22989,0.9997844099998474,0.9997310042381287,5.340576171875e-05
resnet18_cbam,0.2,22989,0.9997844099998474,0.9986774325370789,0.0011069774627685547
resnet18_cbam,0.05,19017,0.993134617805481,0.9879128336906433,0.0052217841148376465
resnet18_cbam,0.1,19017,0.993134617805481,0.8441379070281982,0.14899671077728271
resnet18_cbam,0.2,19017,0.993134617805481,0.6263486742973328,0.3667859435081482
resnet18_cbam,0.05,31697,0.9996381998062134,0.9987636804580688,0.0008745193481445312
resnet18_cbam,0.1,31697,0.9996381998062134,0.9990242719650269,0.0006139278411865234
resnet18_cbam,0.2,31697,0.9996381998062134,0.9990645051002502,0.0005736947059631348
