family,sample_idx,deletion_auc,insertion_auc
resnet18_cbam,11598,0.9322866700640589,0.893177410316639
resnet18_cbam,8612,0.9694475914093346,0.9018218907931441
resnet18_cbam,32384,0.9363406760530779,0.9276996622411389
resnet18_cbam,22088,0.9566858059624792,0.9631138316963188
resnet18_cbam,1258,0.7073085047504719,0.9342702845078747
resnet18_cbam,3882,0.029137796370160576,0.014607107320181778
resnet18_cbam,26021,0.286776011492492,0.21439908053577028
resnet18_cbam,28706,0.9082276546014327,0.8962036005887057
resnet18_cbam,12774,0.9384338990294054,0.9377424506146781
resnet18_cbam,20577,0.9614343782213837,0.9637105629572034
resnet18_cbam,20069,0.953244543812616,0.9568562087279133
resnet18_cbam,22989,0.9721367545171233,0.855278711524079
resnet18_cbam,19017,0.9686161679128418,0.9559868361593544
resnet18_cbam,31697,0.8585570826026014,0.9289631879564695
resnet18_cbam,23363,0.9618085322508705,0.9541084485153988
resnet18_cbam,18777,0.9574365918670082,0.9581656258869771
resnet18_cbam,11832,0.8525465557086136,0.5302394607310816
resnet18_cbam,28618,0.8851422186107811,0.8557096933782304
resnet18_cbam,22858,0.9658240878470679,0.9691241888704099
resnet18_cbam,511,0.9620756769345462,0.9657606360760838
resnet18_cbam,29736,0.943594477539591,0.9609289444833848
resnet18_cbam,33474,0.9437031329689489,0.9462153517433762
resnet18_cbam,25573,0.2547701936707858,0.3505355973178794
resnet18_cbam,4312,0.4806978526892465,0.5678578503128335
resnet18_cbam,24225,0.433287773428944,0.29584055516044927
resnet18_cbam,5114,0.28653842840089183,0.5721178451976812
resnet18_cbam,107,0.2047257290214528,0.4132793704872597
resnet18_cbam,10443,0.16058563011722526,0.2523166749908796
resnet18_cbam,5117,0.41889021528379455,0.47238445514321015
resnet18_cbam,27764,0.17690438946456766,0.37377712208945013
resnet18_cbam,31588,0.361670314939583,0.3312621921073635
resnet18_cbam,5131,0.4774797685110599,0.41950150232796446
resnet18_cbam,1761,0.4421526475028372,0.241656633651246
resnet18_cbam,34288,0.4639119350991905,0.6105337434794933
resnet18_cbam,26309,0.04033840584551207,0.13560522059526647
resnet18_cbam,21752,0.2823248067820794,0.47443438751353906
resnet18_cbam,20801,0.3048465146065382,0.20246839360589775
resnet18_cbam,17666,0.0981584628351122,0.05126824740810321
resnet18_cbam,16706,0.6588252715317253,0.40294188906555917
resnet18_cbam,6553,0.5330126651503697,0.46281316612603973
resnet18_cbam,18583,0.6214776627172487,0.3530720701600103
resnet18_cbam,20787,0.2491730362404354,0.36576466735613167
resnet18_cbam,33870,0.8860309194878937,0.9034812023801351
resnet18_cbam,19563,0.6236760719732786,0.6247242962135715
resnet18_cbam,2399,0.7755706573532422,0.6580016527685828
resnet18_cbam,4407,0.46730489640839323,0.4902698050896852
resnet18_cbam,2272,0.6809246978907169,0.6353821784713105
resnet18_cbam,2489,0.40526544877500803,0.5900490123858049
resnet18_cbam,1496,0.5677820651059662,0.6076222001802389
resnet18_cbam,2232,0.6114315169583051,0.5716750649273377
resnet18_cbam,2415,0.5658029817846355,0.6074167393303682
resnet18_cbam,2382,0.6349011197305003,0.6485525070962614
resnet18_cbam,2510,0.4559615804961775,0.5546496652277746
resnet18_cbam,19664,0.5402610996578936,0.6374843694168879
resnet18_cbam,2740,0.608916810234895,0.5970969416745913
resnet18_cbam,4872,0.6138305265815323,0.4926766153414621
resnet18_cbam,4574,0.5027292967584884,0.4197383115080444
resnet18_cbam,4029,0.6321211220707887,0.4609557389502497
resnet18_cbam,18720,0.44419666538652836,0.3806018703454131
resnet18_cbam,1514,0.620708099113239,0.5473351857619857
resnet18_cbam,1550,0.5642806026794274,0.5622894701855642
resnet18_cbam,4564,0.6537495720655677,0.5372470796338362
resnet18_cbam,4498,0.5998882114454673,0.5799238181005846
resnet18_cbam,1557,0.4159873117648206,0.49140763397319154
resnet18_cbam,2195,0.5577862214707139,0.6169110797603702
resnet18_cbam,2545,0.40810690695717655,0.6640505749947749
resnet18_cbam,12693,0.08314197246223465,0.1157264985795905
resnet18_cbam,4750,0.5410041297254793,0.45856036983013837
resnet18_cbam,18268,0.3303561587251238,0.04973371829197504
resnet18_cbam,18844,0.33793099823001427,0.5701710451864983
resnet18_cbam,29937,0.029837436812954365,0.0286869273215018
resnet18_cbam,1367,0.5081953009057543,0.6803939974806781
resnet18_cbam,26201,0.06201744321085556,0.044214803846571726
resnet18_cbam,7843,0.7609072560990171,0.9402293726361677
resnet18_cbam,25933,0.2229766788868801,0.2634128958083082
resnet18_cbam,7777,0.4618426549454995,0.678924236521425
resnet18_cbam,3199,0.413624919614449,0.3504503609067342
resnet18_cbam,1633,0.6417426380663755,0.6024997780132253
resnet18_cbam,5569,0.17672365515515054,0.06160974562578492
resnet18_cbam,32022,0.6760961121287892,0.6636629419878659
resnet18_cbam,4352,0.6205193521836918,0.6315962207427219
resnet18_cbam,5398,0.4220393729086709,0.6577999065530946
resnet18_cbam,1836,0.7092023264222007,0.48734602166086916
resnet18_cbam,6819,0.3040491773237477,0.14032775192189106
resnet18_cbam,30428,0.23329561874831484,0.5104683126355667
